"Reference","Qty","Value","Footprint","Datasheet"
"D1","1","LED","LED_SMD:LED_0805_2012Metric",""
"D2","1","D_Photo","LED_SMD:LED_0805_2012Metric",""
"D3","1","IR26-21C_L110_TR8","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","http://www.everlight.com/file/ProductFile/IR26-21C-L110-TR8.pdf"
"J1","1","Conn_01x03_Pin","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"R1,R3","2","R=150ohm","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R2","1","R=10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"RV1","1","R_Potentiometer_US","Potentiometer_SMD:Potentiometer_Bourns_3224X_Vertical",""
"U1","1","LM358","Package_SO:MSOP-8_3x3mm_P0.65mm","http://www.ti.com/lit/ds/symlink/lm2904-n.pdf"
